group,Group,Batch,Accumulated survival
19HN-F1-1,HN-F1-2019,July,100
19HN-F1-2,HN-F1-2019,July,100
19HN-F1-3,HN-F1-2019,July,100
19HN-F1-4,HN-F1-2019,July,100
19HN-F1-5,HN-F1-2019,July,100
19HN-F1-6,HN-F1-2019,July,100
19JJ-F1-1,JJ-F1-2019,July,100
19JJ-F1-2,JJ-F1-2019,July,100
19JJ-F1-3,JJ-F1-2019,July,100
19JJ-F1-4,JJ-F1-2019,July,100
19JJ-F1-5,JJ-F1-2019,July,100
19JJ-F1-6,JJ-F1-2019,July,100
20HN-F1-1,HN-F1-2020,July,100
20HN-F1-2,HN-F1-2020,July,100
20HN-F1-3,HN-F1-2020,July,100
20HN-F1-4,HN-F1-2020,July,100
20HN-F1-5,HN-F1-2020,July,100
20HN-F1-6,HN-F1-2020,July,100
20JJ-F1-1,JJ-F1-2020,July,100
20JJ-F1-2,JJ-F1-2020,July,100
20JJ-F1-3,JJ-F1-2020,July,100
20JJ-F1-4,JJ-F1-2020,July,100
20JJ-F1-5,JJ-F1-2020,July,100
20JJ-F1-6,JJ-F1-2020,July,100
19HN-F1-1,HN-F1-2019,October,60
19HN-F1-2,HN-F1-2019,October,62.5
19HN-F1-3,HN-F1-2019,October,60
19HN-F1-4,HN-F1-2019,October,42.5
19HN-F1-5,HN-F1-2019,October,62.5
19HN-F1-6,HN-F1-2019,October,50
19JJ-F1-1,JJ-F1-2019,October,12.5
19JJ-F1-2,JJ-F1-2019,October,47.5
19JJ-F1-3,JJ-F1-2019,October,40
19JJ-F1-4,JJ-F1-2019,October,50
19JJ-F1-5,JJ-F1-2019,October,25
19JJ-F1-6,JJ-F1-2019,October,47.5
20HN-F1-1,HN-F1-2020,October,88.57142857
20HN-F1-2,HN-F1-2020,October,78.57142857
20HN-F1-3,HN-F1-2020,October,80
20HN-F1-4,HN-F1-2020,October,82.85714286
20HN-F1-5,HN-F1-2020,October,78.57142857
20HN-F1-6,HN-F1-2020,October,68.57142857
20JJ-F1-1,JJ-F1-2020,October,72.85714286
20JJ-F1-2,JJ-F1-2020,October,81.42857143
20JJ-F1-3,JJ-F1-2020,October,74.28571429
20JJ-F1-4,JJ-F1-2020,October,67.14285714
20JJ-F1-5,JJ-F1-2020,October,64.28571429
20JJ-F1-6,JJ-F1-2020,October,67.14285714
19HN-F1-1,HN-F1-2019,December,44.53125
19HN-F1-2,HN-F1-2019,December,41.57608696
19HN-F1-3,HN-F1-2019,December,44.53125
19HN-F1-4,HN-F1-2019,December,24.10714286
19HN-F1-5,HN-F1-2019,December,51.35869565
19HN-F1-6,HN-F1-2019,December,42.1875
19JJ-F1-1,JJ-F1-2019,December,15.61403509
19JJ-F1-2,JJ-F1-2019,December,21.46929825
19JJ-F1-3,JJ-F1-2019,December,11.71052632
19JJ-F1-4,JJ-F1-2019,December,10.30092593
19JJ-F1-5,JJ-F1-2019,December,25.37280702
20HN-F1-1,HN-F1-2020,December,72.29437229
20HN-F1-2,HN-F1-2020,December,70.84848485
20HN-F1-3,HN-F1-2020,December,69.58333333
20HN-F1-4,HN-F1-2020,December,71.29720854
20HN-F1-5,HN-F1-2020,December,72.29437229
20HN-F1-6,HN-F1-2020,December,70.84848485
20JJ-F1-1,JJ-F1-2020,December,68.39869281
20JJ-F1-2,JJ-F1-2020,December,66.91904762
20JJ-F1-3,JJ-F1-2020,December,64.3452381
20JJ-F1-4,JJ-F1-2020,December,66.74107143
20JJ-F1-5,JJ-F1-2020,December,64.07142857
20JJ-F1-6,JJ-F1-2020,December,63.77480159
